Country,Code,Latitude,Longitude
Afghanistan,AFG,34.023,65.5267
Albania,ALB,40.654,20.076
Algeria,DZA,28.6045,2.64
American Samoa,ASM,-14.3018,-170.7511
Andorra,AND,42.5425,1.5893
Angola,AGO,-12.836,17.808
Antigua and Barbuda,ATG,17.625,-61.786
Argentina,ARG,-33.166,-64.31
Armenia,ARM,40.56,44.449
Aruba,ABW,12.5176,-69.9818
Australia,AUS,-24.578,133.582
Austria,AUT,47.65,14.705
Azerbaijan,AZE,40.46,47.883
"Bahamas, The",BHS,24.7032,-78.0455
Bahrain,BHR,26.025,50.5534
Bangladesh,BGD,24.598,90.1963
Barbados,BRB,13.1898,-59.559
Belarus,BLR,53.3292,27.9492
Belgium,BEL,50.6745,4.4588
Belize,BLZ,17.108,-88.744
Benin,BEN,10.478,2.274
Bermuda,BMU,32.3019,-64.7737
Bhutan,BTN,27.5342,90.3002
Bolivia,BOL,-16.71,-65.183
Bosnia and Herzegovina,BIH,44.342,17.804
Botswana,BWA,-22.126,23.662
Brazil,BRA,-11.694,-48.978
British Virgin Islands,VGB,18.4204,-64.64
Brunei Darussalam,BRN,4.452,114.557
Bulgaria,BGR,42.625,24.521
Burkina Faso,BFA,12.673,-1.226
Burundi,BDI,-3.333,29.749
Cabo Verde,CPV,15.416,-23.36
Cambodia,KHM,12.69,104.444
Cameroon,CMR,4.4,12.131
Canada,CAN,59.2067,-111.1937
Cayman Islands,CYM,19.3299,-81.1715
Central African Republic,CAF,7.043,21.424
Chad,TCD,15.981,18.781
Channel Islands,CHI,49.4632,-2.5827
Chile,CHL,-23.176,-69.201
China,CHN,35.1753,99.3877
Colombia,COL,3.794,-73.606
Comoros,COM,-11.6527,43.3307
"Congo, Dem. Rep.",COD,-1.418,23.607
"Congo, Rep.",COG,0.509,16.08
Costa Rica,CRI,10.126,-84.075
Cote d'Ivoire,CIV,7.497,-5.336
Croatia,HRV,45.754,16.385
Cuba,CUB,20.571,-76.456
Curacao,CUW,12.2129,-69.0407
Cyprus,CYP,34.894,32.928
Czech Republic,CZE,49.848,15.2812
Denmark,DNK,56.113,9.096
Djibouti,DJI,11.41,42.165
Dominica,DMA,15.4238,-61.3411
Dominican Republic,DOM,19.01,-70.1685
Ecuador,ECU,-1.151,-78.308
El Salvador,SLV,13.848,-89.229
Equatorial Guinea,GNQ,1.6342,10.4695
